HB,Year,NumberOfAttendancesAll,PercentageWithin4HoursAll,AllAges,attendanceperpop,attendanceper1000pop,HBName
S08000015,2007,54055,98.68416666666667,370750,0.024299842661272195,24.299842661272194,NHS Ayrshire and Arran
S08000015,2008,111174,99.36166666666666,372120,0.024896538750940556,24.896538750940557,NHS Ayrshire and Arran
S08000015,2010,114768,98.89666666666666,372810,0.025653818298865375,25.653818298865374,NHS Ayrshire and Arran
S08000015,2011,118393,98.16333333333334,373760,0.026396841110159816,26.396841110159816,NHS Ayrshire and Arran
S08000015,2013,120071,96.32833333333333,372240,0.026880283329751415,26.880283329751414,NHS Ayrshire and Arran
S08000015,2014,123159,97.21833333333333,371140,0.027653311418871583,27.653311418871585,NHS Ayrshire and Arran
S08000015,2016,121936,96.51,370560,0.027421560161197466,27.42156016119747,NHS Ayrshire and Arran
S08000015,2017,115716,96.86500000000001,370410,0.026033314435355417,26.033314435355415,NHS Ayrshire and Arran
S08000015,2019,119691,93.52166666666666,369360,0.027004142300194933,27.004142300194932,NHS Ayrshire and Arran
S08000015,2020,90420,93.855,367990,0.02047609989401886,20.47609989401886,NHS Ayrshire and Arran
S08000015,2022,95029,86.26666666666667,365440,0.02166999598657326,21.669995986573262,NHS Ayrshire and Arran
S08000015,2009,112513,99.17166666666667,372430,0.025175424464552624,25.175424464552624,NHS Ayrshire and Arran
S08000015,2012,121945,96.70833333333333,373220,0.02722813175428255,27.22813175428255,NHS Ayrshire and Arran
S08000015,2015,120990,95.84166666666667,370590,0.02720661647642948,27.206616476429478,NHS Ayrshire and Arran
S08000015,2018,114593,96.35666666666667,369670,0.025832273829812173,25.832273829812173,NHS Ayrshire and Arran
S08000015,2021,90494,90.81833333333333,368690,0.02045394956919544,20.45394956919544,NHS Ayrshire and Arran
S08000016,2010,24880,99.41833333333334,113700,0.01823512166520082,18.235121665200822,NHS Borders
S08000016,2007,12827,99.78333333333333,112200,0.01905377302436126,19.05377302436126,NHS Borders
S08000016,2016,30346,99.04,114530,0.022080095462615325,22.080095462615326,NHS Borders
S08000016,2013,26987,99.50666666666666,113880,0.01974812668305819,19.74812668305819,NHS Borders
S08000016,2021,28322,86.98611111111111,116020,0.020342756995920242,20.342756995920244,NHS Borders
S08000016,2009,25674,99.50166666666667,113590,0.01883528479619685,18.83528479619685,NHS Borders
S08000016,2019,34274,98.32166666666667,115510,0.02472657489972008,24.72657489972008,NHS Borders
S08000016,2022,29706,64.61666666666667,116820,0.021190720766991952,21.19072076699195,NHS Borders
S08000016,2008,25345,99.59,113360,0.018631645495177606,18.631645495177608,NHS Borders
S08000016,2015,28300,99.00166666666667,114030,0.020681691952410184,20.681691952410183,NHS Borders
S08000016,2011,26181,99.57833333333333,113880,0.01915832455216017,19.158324552160167,NHS Borders
S08000016,2012,26768,99.26666666666667,113720,0.019615429710399812,19.615429710399813,NHS Borders
S08000016,2014,28496,99.15666666666667,114040,0.02082310300479364,20.82310300479364,NHS Borders
S08000016,2017,31693,98.77,115020,0.022961948646612183,22.961948646612186,NHS Borders
S08000016,2018,32551,98.38,115270,0.023532431103785317,23.532431103785317,NHS Borders
S08000016,2020,26581,91.89833333333333,115240,0.01922147981025107,19.22147981025107,NHS Borders
