"YearEnd","Country","HBT","DepartmentType","Age","AgeQF","Sex","SexQF","Deprivation","DeprivationQF","OneAttendance","TwoAttendances","ThreeAttendances","FourAttendances","FivePlusAttendances"
"202406","S92000003","S08000015","Emergency Department","18-24","","Female","","1","",741,151,48,20,17
"202406","S92000003","S08000015","Emergency Department","18-24","","Female","","2","",382,90,21,12,13
"202406","S92000003","S08000015","Emergency Department","18-24","","Female","","3","",288,53,11,4,3
"202406","S92000003","S08000015","Emergency Department","18-24","","Female","","4","",178,34,9,2,1
"202406","S92000003","S08000015","Emergency Department","18-24","","Female","","5","",154,33,10,1,1
"202406","S92000003","S08000015","Emergency Department","18-24","","Female","","",":",58,18,6,2,1
"202406","S92000003","S08000015","Emergency Department","25-39","","Female","","1","",1697,372,112,35,51
"202406","S92000003","S08000015","Emergency Department","25-39","","Female","","2","",1028,205,65,21,30
"202406","S92000003","S08000015","Emergency Department","25-39","","Female","","3","",584,106,30,10,10
"202406","S92000003","S08000015","Emergency Department","25-39","","Female","","4","",346,80,18,1,5
"202406","S92000003","S08000015","Emergency Department","25-39","","Female","","5","",273,41,4,5,2
"202406","S92000003","S08000015","Emergency Department","25-39","","Female","","",":",227,35,10,5,3
"202406","S92000003","S08000015","Emergency Department","40-64","","Female","","1","",2438,495,135,57,61
"202406","S92000003","S08000015","Emergency Department","40-64","","Female","","2","",1826,354,101,44,37
"202406","S92000003","S08000015","Emergency Department","40-64","","Female","","3","",1167,213,51,23,10
"202406","S92000003","S08000015","Emergency Department","40-64","","Female","","4","",933,132,32,4,5
"202406","S92000003","S08000015","Emergency Department","40-64","","Female","","5","",744,102,30,7,3
"202406","S92000003","S08000015","Emergency Department","40-64","","Female","","",":",249,46,8,3,2
"202406","S92000003","S08000015","Emergency Department","65-74","","Female","","1","",860,159,56,15,34
"202406","S92000003","S08000015","Emergency Department","65-74","","Female","","2","",744,162,34,9,11
"202406","S92000003","S08000015","Emergency Department","65-74","","Female","","3","",490,88,22,11,6
"202406","S92000003","S08000015","Emergency Department","65-74","","Female","","4","",382,83,10,1,5
"202406","S92000003","S08000015","Emergency Department","65-74","","Female","","5","",389,56,11,4,3
"202406","S92000003","S08000015","Emergency Department","65-74","","Female","","",":",91,16,1,0,2
"202406","S92000003","S08000015","Emergency Department","75 plus","","Female","","1","",1037,263,77,28,18
"202406","S92000003","S08000015","Emergency Department","75 plus","","Female","","2","",1009,265,75,27,12
"202406","S92000003","S08000015","Emergency Department","75 plus","","Female","","3","",693,167,52,12,9
"202406","S92000003","S08000015","Emergency Department","75 plus","","Female","","4","",594,152,40,9,13
"202406","S92000003","S08000015","Emergency Department","75 plus","","Female","","5","",618,157,42,15,7
"202406","S92000003","S08000015","Emergency Department","75 plus","","Female","","",":",75,18,3,3,0
"202406","S92000003","S08000015","Emergency Department","Under 18","","Female","","1","",1905,419,123,47,24
"202406","S92000003","S08000015","Emergency Department","Under 18","","Female","","2","",1142,298,72,21,23
"202406","S92000003","S08000015","Emergency Department","Under 18","","Female","","3","",789,163,34,8,13
"202406","S92000003","S08000015","Emergency Department","Under 18","","Female","","4","",544,120,20,10,2
"202406","S92000003","S08000015","Emergency Department","Under 18","","Female","","5","",511,109,18,8,3
"202406","S92000003","S08000015","Emergency Department","Under 18","","Female","","",":",315,56,15,3,3
"202406","S92000003","S08000015","Emergency Department","18-24","","Male","","1","",696,191,37,13,21
